date,sum_open_interest,sum_open_interest_value
2024-07-24,82314.71915679442,5437921766.569911
2024-07-25,82979.34072125435,5359611580.752066
2024-07-26,83327.2,5480758418.6408205
2024-07-27,84651.1,5746336760.86
2024-07-28,86084.842,5842012173.524803
2024-07-29,85860.258,5857180798.2521105
2024-07-30,83542.17538675958,5544133470.930416
2024-07-31,82421.9669651568,5437656003.582365
2024-08-01,86246.74958885017,5531652291.285767
2024-08-02,87192.052,5696160845.9028
2024-08-03,86820.17024041813,5320969250.33484
2024-08-04,85283.126,5175372388.0596
2024-08-05,88098.464,5121964528.6924515
2024-08-06,75212.503,4060141944.6017113
2024-08-07,76846.83,4304090775.546137
2024-08-08,76977.234,4241668827.3786
2024-08-09,74611.91216027875,4527696233.292916
2024-08-10,70831.06464111498,4299388681.382678
2024-08-11,71908.45125087108,4343202491.636857
2024-08-12,68778.99770383275,4056408078.3574677
2024-08-13,68490.559,4063106525.8924
2024-08-14,72127.824,4367734979.369164
2024-08-15,79942.90293728223,4665435496.580813
2024-08-16,83767.535,4817913569.947132
2024-08-17,82133.267,4833953429.285
2024-08-18,83463.48341114982,4977723310.833957
2024-08-19,82695.127,4828576735.0427
2024-08-20,83967.11777700348,5044160087.000413
2024-08-21,82720.661,4879501534.8697
2024-08-22,85607.454,5232327588.48
2024-08-23,85616.34648432056,5287517959.9652405
2024-08-24,87357.87992682926,5594658007.432297
2024-08-25,88343.23708013937,5661779461.6619005
2024-08-26,86491.85232752614,5505720418.509508
2024-08-27,85145.73490592335,5292586591.007215
2024-08-28,81452.86,4837029219.384
2024-08-29,79140.046,4670038286.4508
2024-08-30,81440.705,4831676069.533411
2024-08-31,79855.24,4719149219.612
2024-09-01,82466.63236585366,4799757847.317373
2024-09-02,82146.888,4705434422.060124
2024-09-03,84338.39177003485,4940262748.475527
2024-09-04,83178.403,4779218287.851972
2024-09-05,81107.801,4699767196.6047
2024-09-06,84879.57128222997,4689839362.368514
2024-09-07,84362.93642160279,4573166786.101109
2024-09-08,83937.62579790941,4561346377.069022
2024-09-09,84701.211,4645320795.94419
2024-09-10,86950.0483728223,4963427102.806243
2024-09-11,86226.717,4967822959.8795
2024-09-12,87273.25372125435,5061956032.367608
2024-09-13,87298.44671777004,5122367992.444175
2024-09-14,89407.534,5405239757.0108
2024-09-15,87982.57690940767,5275879950.61971
2024-09-16,86288.806,5099730332.43655
2024-09-17,84525.958,4918303465.5502
2024-09-18,84092.58631358885,5055858722.66776
2024-09-19,86973.07056445994,5447691185.762227
2024-09-20,87179.866,5486167941.4738
2024-09-21,87263.42162020906,5503889337.970868
