date,cm_price_usd,cm_market_cap_usd,cm_mvrv,cm_active_addresses,cm_tx_count,cm_hash_rate,cm_fees_btc,cm_exchange_inflow_usd,cm_exchange_outflow_usd,cm_supply,cm_exchange_supply_usd,cm_spot_volume_usd,cm_roi_30d,cm_roi_1y
2015-06-07,223.411685856225,3183111561.3986707,0.77660755,255838,82502,352488.01976377,12.75830974,7838922.997506317,6709436.510970337,14247739.76884602,318921614.80039257,6118724.80643315,-8.581507875486691,-65.98483656928879
2015-06-08,228.774291350088,3260414508.051764,0.79532581,252632,111670,371413.551026254,17.79781777,14789645.729046708,13178873.918969508,14251664.76884602,328187540.3553856,12159634.4682401,-5.740138911904538,-65.22235564588605
2015-06-09,229.370529514904,3269777768.24803,0.79751177,287564,121137,357219.402579391,17.69428829,12262053.195512176,11619065.674012022,14255439.76884601,329685859.7221827,8987834.06762067,-4.719347144490742,-64.62167526077207
2015-06-10,228.588487434249,3259595200.829957,0.79522298,354081,129616,399801.847919981,19.88701589,11330409.885458816,10543733.309577769,14259664.768846,329348467.6731844,6654595.33721421,-5.6393638698249955,-64.88314160422308
2015-06-11,229.584411747516,3274571594.9491153,0.79912895,281625,120640,319368.340054422,17.44361645,10998428.239989337,10094628.22646715,14263039.76835459,331687187.48592573,6307552.55650841,-5.212306522843176,-63.64395837882888
2015-06-12,229.811218510228,3278622378.6497383,0.79991673,296611,125402,335928.179909096,18.17704851,11700910.426994784,12040136.654902292,14266589.76834858,331675635.49623895,6311072.40325729,-2.8488860030404486,-61.1789030684438
2015-06-13,233.015344535359,3325260566.2108974,0.81144066,282673,105230,376144.933841875,16.83762539,9510891.066482065,9883441.651051797,14270564.76834857,335927448.0845579,5605790.63237943,-1.6600929156123243,-60.97189581197235
2015-06-14,232.507108708358,3318868030.2263055,0.80992401,292633,105380,361934.276712658,16.37535803,9968275.635019619,8387912.768289677,14274264.76834857,336775110.85924006,4296416.46653206,-2.0958814492980355,-59.60328616365299
2015-06-15,236.7909628872,3380869346.470486,0.8248878,318865,128569,355711.957090776,19.79611018,15523614.88863539,12350758.697729124,14277864.76834857,346152919.12236,10271691.3828786,0.4150882503466659,-59.84719914108256
2015-06-16,251.432676797195,3590663484.050795,0.87513216,276646,120372,291486.187060497,22.16171112,24312933.118521594,25104201.785227437,14280814.76834857,366765643.028266,23505767.77215,6.105996363700422,-57.4252419263674
2015-06-17,247.969317650497,3542183372.32402,0.86325931,322275,132006,390295.064030157,21.08865135,22216504.815266125,18849783.994023375,14284764.76802097,365080350.8786526,22740163.1930676,6.477678920190567,-59.28789051343336
2015-06-18,249.012479544126,3558055843.2596903,0.86709753,287336,125830,385354.620181674,27.52765807,16040807.092017362,18015960.909610853,14288664.76802095,364641023.8067135,14686504.9609302,7.344788602085053,-59.01904725988991
2015-06-19,244.803484219755,3498814572.862747,0.85251691,291461,126014,363122.6228635,27.58818203,26797712.52868264,22595370.4216258,14292339.76801545,362679930.3820008,11384868.269046,4.531860492383831,-58.90845533647602
2015-06-20,245.582513150205,3510771420.444903,0.85520736,259541,100545,331009.737848361,14.96865619,10122499.794808948,7787887.663554024,14295689.76801544,366168685.2296541,9620494.19087378,4.257494671231137,-58.48361352065117
2015-06-21,244.300260081824,3493198059.1425056,0.85070324,279335,96769,306307.518605946,14.0692922,7611080.729140411,7241269.2959434735,14298789.76785584,364626630.405934,4330892.95410272,1.654878238486109,-58.786276488023006
2015-06-22,247.017892460549,3533001756.575591,0.86017515,264629,118897,377943.954408949,28.21959957,11583403.692251004,12572428.840437772,14302614.76763204,367693766.05186456,9046789.80503532,3.3706478654048446,-58.80526596685869
2015-06-23,244.184763296318,3493335248.1509166,0.85051054,303390,126676,345831.06939381,18.70392378,11315037.606064344,12020592.746608848,14306114.76733197,362771010.6035575,7327172.10803201,1.4428065300889594,-58.58132291758681
2015-06-24,240.451545295149,3440865164.001367,0.8379559,267900,113349,385354.620181674,16.38737487,12869160.004136208,13072003.1753195,14310014.76733194,357021943.9546873,8480387.86679168,1.45483143345089,-58.54095839350504
2015-06-25,242.347857685564,3468922344.170873,0.8448489,227584,109193,375473.732484708,16.48184394,11849812.616604654,11071561.176386092,14313814.76733189,360615836.0061578,6529106.53825904,2.344461185962191,-56.895765925217866
2015-06-26,242.967997369959,3478734335.532736,0.84717268,294363,117718,380414.176333191,18.31451546,14495644.806129115,13687131.349933263,14317664.7673306,362347123.0030996,7173806.33642791,2.4301490456995016,-58.16301000432911
